cca3,language,gender,demonym
ESP,fra,m,Espagnol
BES,eng,f,Dutch
BES,eng,m,Dutch
BES,fra,f,Néerlandaise
BES,fra,m,Néerlandais
PNG,eng,f,Papua New Guinean
PNG,eng,m,Papua New Guinean
PNG,fra,f,Papouasienne
PNG,fra,m,Papouasien
UZB,eng,f,Uzbekistani
UZB,eng,m,Uzbekistani
UZB,fra,f,Ouzbèke
UZB,fra,m,Ouzbèke
ARG,eng,f,Argentine
ARG,eng,m,Argentine
ARG,fra,f,Argentine
ARG,fra,m,Argentin
KOR,eng,f,South Korean
KOR,eng,m,South Korean
KOR,fra,f,Sud-coréenne
KOR,fra,m,Sud-coréen
BLZ,eng,f,Belizean
BLZ,eng,m,Belizean
BLZ,fra,f,Bélizienne
BLZ,fra,m,Bélizien
REU,eng,f,Réunionese
REU,eng,m,Réunionese
REU,fra,f,Réunionnaise
REU,fra,m,Réunionnais
MEX,eng,f,Mexican
MEX,eng,m,Mexican
MEX,fra,f,Mexicaine
MEX,fra,m,Mexicain
VIR,eng,f,Virgin Islander
VIR,eng,m,Virgin Islander
VIR,fra,f,
VIR,fra,m,
SRB,eng,f,Serbian
SRB,eng,m,Serbian
SRB,fra,f,Serbe
SRB,fra,m,Serbe
UMI,eng,f,American Islander
UMI,eng,m,American Islander
UMI,fra,f,
UMI,fra,m,
CPV,eng,f,Cape Verdian
CPV,eng,m,Cape Verdian
CPV,fra,f,Cap-verdienne
CPV,fra,m,Cap-verdien
KHM,eng,f,Cambodian
KHM,eng,m,Cambodian
KHM,fra,f,Cambodgienne
KHM,fra,m,Cambodgien
ROU,eng,f,Romanian
ROU,eng,m,Romanian
ROU,fra,f,Roumaine
ROU,fra,m,Roumain
HUN,eng,f,Hungarian
HUN,eng,m,Hungarian
HUN,fra,f,Hongroise
HUN,fra,m,Hongrois
MHL,eng,f,Marshallese
MHL,eng,m,Marshallese
MHL,fra,f,Marshallaise
MHL,fra,m,Marshallais
SOM,eng,f,Somali
SOM,eng,m,Somali
SOM,fra,f,Somalienne
SOM,fra,m,Somalien
ALB,eng,f,Albanian
ALB,eng,m,Albanian
ALB,fra,f,Albanaise
ALB,fra,m,Albanais
PYF,eng,f,French Polynesian
PYF,eng,m,French Polynesian
PYF,fra,f,Polynésienne
PYF,fra,m,Polynésien
BDI,eng,f,Burundian
BDI,eng,m,Burundian
BDI,fra,f,Burundaise
BDI,fra,m,Burundais
CAF,eng,f,Central African
CAF,eng,m,Central African
